query,frequency_current,timestamp_current,frequency_previous,timestamp_previous,growthRate,category
all black,0.0,,115.0,2024-03-15,-0.99,misc
all black bright yellow fuchsia pullover,0.0,,140.0,2024-03-10,-0.99,misc
all black deep red fuchsia dress,66.0,2025-03-18,0.0,,66.0,fashion
all black distressed layer lux leather tank top,127.0,2025-03-26,0.0,,127.0,fashion
all black fuchsia lux leather cardigan,143.0,2025-03-06,0.0,,143.0,misc
all black jacket,122.0,2025-03-20,0.0,,122.0,fashion
all black lux leather bright yellow shirt,0.0,,56.0,2024-03-18,-0.98,fashion
all black lux leather deep red romper,83.0,2025-03-27,0.0,,83.0,fashion
all black parka,0.0,,51.0,2024-03-04,-0.98,misc
all black romper,104.0,2025-03-31,53.0,2024-03-06,0.94,fashion
all black sandals,0.0,,109.0,2024-03-21,-0.99,footwear
all black skirt,96.0,2025-03-06,0.0,,96.0,fashion
all black slides,0.0,,96.0,2024-03-29,-0.99,misc
all black tank top,98.0,2025-03-09,51.0,2024-03-16,0.9,fashion
all black trench coat,94.0,2025-03-20,0.0,,94.0,fashion
aqua shimmer,178.0,2025-03-08,0.0,,178.0,misc
aqua shimmer glitter barbie pullover,0.0,,103.0,2024-03-13,-0.99,misc
aqua shimmer jacket,72.0,2025-03-18,0.0,,72.0,fashion
aqua shimmer pearl hot pink sandals,111.0,2025-03-31,0.0,,111.0,footwear
aqua shimmer platform heels glitter sneakers,0.0,,132.0,2024-03-28,-0.99,footwear
aqua shimmer platform heels hot pink pants,0.0,,75.0,2024-03-21,-0.99,fashion
aqua shimmer platform heels iridescent slides,0.0,,133.0,2024-03-10,-0.99,footwear
aqua shimmer shirt,66.0,2025-03-31,0.0,,66.0,fashion
aqua shimmer skirt,0.0,,67.0,2024-03-04,-0.99,fashion
aqua shimmer sneakers,144.0,2025-03-29,0.0,,144.0,footwear
baby tee,267.0,2025-03-12,134.0,2024-03-11,0.99,misc
baby tee jacket,127.0,2025-03-13,0.0,,127.0,fashion
baby tee pants,0.0,,148.0,2024-03-02,-0.99,fashion
baby tee romper,70.0,2025-03-12,0.0,,70.0,fashion
baggy jeans,0.0,,164.0,2024-03-04,-0.99,fashion
baggy jeans blouse,0.0,,90.0,2024-03-02,-0.99,fashion
baggy jeans crop top,121.0,2025-03-19,0.0,,121.0,fashion
baggy jeans denim skirt football jersey tshirt,0.0,,77.0,2024-03-21,-0.99,fashion
baggy jeans dusty tones distressed layer sneakers,0.0,,136.0,2024-03-28,-0.99,fashion
baggy jeans football jersey trainers sneakers,0.0,,134.0,2024-03-29,-0.99,fashion
baggy jeans heels,0.0,,101.0,2024-03-27,-0.99,fashion
baggy jeans skirt,80.0,2025-03-04,0.0,,80.0,fashion
baggy jeans sneakers,90.0,2025-03-31,0.0,,90.0,fashion
baggy jeans tank top,128.0,2025-03-23,0.0,,128.0,fashion
baggy jeans trainers fringe jacket dress,126.0,2025-03-07,0.0,,126.0,fashion
baggy jeans trainers utility harness tshirt,57.0,2025-03-28,0.0,,57.0,fashion
baggy jeans windbreaker,59.0,2025-03-03,0.0,,59.0,fashion
barbie,526.0,2025-03-03,237.0,2024-03-07,1.21,misc
barbie cashmere camel coat jacket,0.0,,68.0,2024-03-06,-0.99,fashion
barbie headscarf hot pink dress,0.0,,101.0,2024-03-11,-0.99,fashion
barbie hot pink cashmere bomber jacket,0.0,,68.0,2024-03-10,-0.99,fashion
barbie hot pink cashmere boots,0.0,,97.0,2024-03-14,-0.99,footwear
barbie hot pink glitter boots,132.0,2025-03-19,0.0,,132.0,footwear
barbie hot pink glitter parka,114.0,2025-03-27,0.0,,114.0,misc
barbie hot pink glitter romper,86.0,2025-03-27,0.0,,86.0,fashion
barbie hot pink glitter windbreaker,138.0,2025-03-05,0.0,,138.0,misc
barbie hot pink headscarf bomber jacket,0.0,,134.0,2024-03-31,-0.99,fashion
barbie hot pink linen dress leggings,0.0,,58.0,2024-03-25,-0.98,fashion
barbie hot pink sea shell pullover,56.0,2025-03-20,0.0,,56.0,misc
barbie iridescent platform heels dress,0.0,,57.0,2024-03-16,-0.98,fashion
barbie jumpsuit,249.0,2025-03-10,86.0,2024-03-18,1.87,fashion
barbie leggings,172.0,2025-03-27,59.0,2024-03-29,1.88,fashion
