searchTerm,growthRate,category
tailored trousers,70300.0,fashion
solid coat,68300.0,fashion
vintage jeans,66900.0,fashion
new flats,51800.0,footwear
beige jumpsuit,50200.0,fashion
men leggings,50100.0,fashion
spring unisex,48000.0,accessories
plaid windbreaker,47900.0,misc
highwaisted trench coat,46300.0,fashion
tall pullover,43300.0,misc
denim shirt,43200.0,fashion
sleeveless coat,42500.0,fashion
solid blouse,42300.0,misc
spring new,41600.0,accessories
sleeveless tank top,39400.0,fashion
striped jacket,39200.0,fashion
pencil skirt,38800.0,fashion
fall jacket,38000.0,fashion
spring navy crop top,36300.0,fashion
spring minimalist blouse,35900.0,accessories
men pullover,35900.0,misc
bomber jacket tank top,35600.0,fashion
lightweight hoodie,35500.0,fashion
spring winter flats,35300.0,footwear
spring vintage jumpsuit,34500.0,fashion
longline romper,34200.0,fashion
spring floral sweater,33600.0,fashion
loose skirt,32800.0,fashion
solid parka,32700.0,misc
cardigan tshirt,32700.0,fashion
cotton loafer,32700.0,misc
loose pants,32500.0,fashion
vintage skirt,32100.0,fashion
statement accessory,31900.0,misc
spring women boots,31700.0,footwear
cardigan flats,31600.0,footwear
spring tall jacket,31400.0,fashion
organic dress,31400.0,fashion
petite bomber jacket,31200.0,fashion
plaid shorts,31100.0,fashion
oversized parka,30900.0,misc
minimalist dress,30800.0,fashion
spring midrise parka,30600.0,accessories
spring navy parka,30600.0,accessories
spring beige pullover,30300.0,accessories
petite heels,30300.0,footwear
olive flats,30300.0,footwear
fitted dress,30100.0,fashion
longline parka,30100.0,misc
spring beige sweater,29900.0,fashion
minimalist boots,29800.0,footwear
fitted pants,29400.0,fashion
printed shorts,29400.0,fashion
women pants,29000.0,fashion
leather slides,28600.0,misc
transitional leggings,28400.0,fashion
floral jacket,28400.0,fashion
longline shirt,28100.0,fashion
fitted jeans,28000.0,fashion
spring winter romper,28000.0,fashion
spring vintage jeans,27500.0,fashion
printed windbreaker,27100.0,misc
linen skirt,27100.0,fashion
organic shirt,26900.0,fashion
spring sleeveless cardigan,26800.0,accessories
winter hoodie,26700.0,fashion
trendy coat,26400.0,fashion
spring loose jumpsuit,26200.0,fashion
loose jacket,26200.0,fashion
spring printed jeans,26200.0,fashion
cropped blouse,26100.0,misc
spring winter dress,26000.0,fashion
slim fit bomber jacket,26000.0,fashion
petite jeans,25900.0,fashion
spring leather pullover,25800.0,accessories
spring winter trench coat,25700.0,fashion
cardigan pants,25700.0,fashion
midrise crop top,25700.0,fashion
printed jacket,25500.0,fashion
black skirt,25400.0,fashion
white sneakers,25300.0,footwear
spring cropped flats,25300.0,footwear
spring linen coat,25100.0,fashion
cashmere bomber jacket,25100.0,fashion
transitional slides,25000.0,misc
loose jumpsuit,25000.0,fashion
iridescent jacket,25000.0,fashion
camel coat tailored trousers cashmere cardigan,24700.0,fashion
spring petite pullover,24700.0,accessories
spring wool coat,24600.0,fashion
striped hoodie,24600.0,fashion
spring cropped sneakers,24500.0,footwear
spring stockings shorts,24300.0,fashion
spring wool sweater,24200.0,fashion
wrap skirt soft pink leg warmers jeans,24200.0,fashion
spring plaid sneakers,24200.0,footwear
modular,23900.0,misc
spring wool blazer oxford turtleneck loafer,23900.0,fashion
cord pants,23900.0,fashion
spring new sweater,23900.0,fashion
pencil skirt pants,23800.0,fashion
lowrise jacket,23700.0,fashion
loose dress,23600.0,fashion
spring summer trench coat,23600.0,fashion
sleeveless tshirt,23600.0,fashion
wool tshirt,23600.0,fashion
women bomber jacket,23600.0,fashion
spring plaid trench coat,23500.0,fashion
spring trendy loafer,23400.0,accessories
spring olive slides,23400.0,accessories
navy jacket,23400.0,fashion
organic jeans,23300.0,fashion
cardigan leggings,23200.0,fashion
linen coat,23200.0,fashion
spring longline flats,23000.0,footwear
wool crop top,22800.0,fashion
spring tall sweater,22800.0,fashion
petite parka,22800.0,misc
midrise pants,22800.0,fashion
spring leather mini flash photo ripped tights jumpsuit,22700.0,fashion
spring corset,22700.0,fashion
spring spring hoodie,22500.0,fashion
spring minimalist skirt,22500.0,fashion
spring tall loafer,22400.0,accessories
petite boots,22400.0,footwear
lowrise parka,22400.0,misc
spring organic sweater,22300.0,fashion
printed mesh dress,22300.0,fashion
plaid flats,22100.0,footwear
spring unisex slides,22000.0,accessories
pastel boots,22000.0,footwear
linen sweater,22000.0,fashion
cotton shirt,21800.0,fashion
olive parka,21800.0,misc
spring petite windbreaker,21800.0,accessories
slim fit shorts,21700.0,fashion
summer heels,21700.0,footwear
loose pullover,21500.0,misc
spring cardigan shorts,21500.0,fashion
spring cotton boots,21400.0,footwear
white crop top,21400.0,fashion
men boots,21300.0,footwear
utility harness windbreaker,21300.0,misc
lowrise trench coat,21200.0,fashion
spring black bomber jacket,21100.0,fashion
spring men flats,21100.0,footwear
spring fitted loafer,21000.0,accessories
chrome iridescent jacket holo pants slides,20900.0,fashion
spring navy shorts,20900.0,fashion
plus size pants,20800.0,fashion
striped sweater,20800.0,fashion
spring organic pullover,20800.0,accessories
spring beige soft white camel coat trench coat,20700.0,fashion
spring transitional windbreaker,20700.0,accessories
sleeveless skirt,20700.0,fashion
linen sneakers,20600.0,footwear
spring solid pullover,20600.0,accessories
lightweight slides,20600.0,misc
striped dress,20500.0,fashion
organic heels,20500.0,footwear
olive leggings,20500.0,fashion
spring linen sandals,20500.0,footwear
spring petite loafer,20500.0,accessories
spring winter sweater,20300.0,fashion
spring oversized hoodie,20200.0,fashion
spring minimalist shorts,20100.0,fashion
longline loafer,20000.0,misc
spring trendy crop top,20000.0,fashion
spring leather shorts,20000.0,fashion
spring camel coat parka,19900.0,fashion
clashing print,19900.0,misc
winter tshirt,19800.0,fashion
navy hoodie,19800.0,fashion
spring lace flats,19800.0,footwear
leather heels,19800.0,footwear
vintage leggings,19700.0,fashion
plus size crop top,19700.0,fashion
spring fitted skirt,19600.0,fashion
spring fitted hoodie,19600.0,fashion
cardigan pullover,19500.0,misc
spring lowrise tshirt,19500.0,fashion
fitted loafer,19400.0,misc
spring bomber jacket slides,19400.0,fashion
spring navy jeans,19400.0,fashion
transitional romper,19300.0,fashion
winter pullover,19300.0,misc
spring unisex cardigan,19300.0,accessories
leather flats,19200.0,footwear
denim romper,19200.0,fashion
spring spring coat,19200.0,fashion
spring loose blouse,19100.0,accessories
navy loafer,19100.0,misc
spring trainers,19100.0,accessories
spring leather tank top,19000.0,fashion
lightweight trench coat,19000.0,fashion
cardigan sneakers,19000.0,footwear
pencil skirt crop top,19000.0,fashion
camel coat jeans,19000.0,fashion
oversized boots,18900.0,footwear
hot pink windbreaker,18900.0,misc
matching set,18600.0,fashion
spring minimalist bomber jacket,18600.0,fashion
stockings tshirt,18500.0,fashion
white coat,18500.0,fashion
trendy heels,18500.0,footwear
cashmere cardigan,18400.0,misc
striped tank top,18400.0,fashion
winter coat,18300.0,fashion
men crop top,18000.0,fashion
loose shorts,17900.0,fashion
men cardigan,17900.0,misc
summer slides,17800.0,misc
aqua shimmer,17800.0,misc
midrise jacket,17700.0,fashion
spring slim fit jeans,17600.0,fashion
spring women crop top,17500.0,fashion
spring lightweight sneakers,17500.0,footwear
bomber jacket pants,17500.0,fashion
solid dress,17500.0,fashion
spring trendy romper,17500.0,fashion
spring denim jumpsuit,17400.0,fashion
spring plus size crop top,17400.0,fashion
spring fall boots,17300.0,footwear
spring linen jumpsuit,17300.0,fashion
spring white parka,17300.0,accessories
men sandals,17200.0,footwear
spring highwaisted slides,17100.0,accessories
cotton boots,17100.0,footwear
printed sandals,17000.0,footwear
oversized jumpsuit,17000.0,fashion
women trench coat,16800.0,fashion
spring deep red,16800.0,accessories
spring petite jumpsuit,16700.0,fashion
women boots,16600.0,footwear
fitted sneakers,16600.0,footwear
olive romper,16600.0,fashion
black lace romper,16500.0,fashion
spring fall tshirt,16400.0,fashion
spring ripped tights flash photo leather mini jumpsuit,16300.0,fashion
striped loafer,16100.0,misc
fitted jumpsuit,16100.0,fashion
fitted boots,16000.0,footwear
spring fitted leggings,15900.0,fashion
linen romper,15800.0,fashion
spring floral romper,15600.0,fashion
spring beige cardigan,15400.0,accessories
spring transitional dress,15400.0,fashion
loose coat,15100.0,fashion
spring camel coat tailored trousers cashmere skirt,15100.0,fashion
spring chrome iridescent jacket structured blouse shorts,14900.0,fashion
spring lightweight transitional spring trench coat,14900.0,fashion
vintage spring printed blouse,14900.0,accessories
leather printed new boots,14900.0,footwear
midrise trendy highwaisted tshirt,14900.0,fashion
spring leather men linen sneakers,14900.0,footwear
spring longline coat,14900.0,fashion
spring black fall winter sweater,14900.0,fashion
spring black trendy fall leggings,14900.0,fashion
spring sleeveless sweater,14900.0,fashion
sleeveless new pastel jacket,14900.0,fashion
